Board,Title
baseball,[新聞] 國際塗鴉藝術家 彩繪天母球場
baseball,[新聞] 公開二複賽開打 中華科大、台鋼科大下馬
baseball,[公告] 板規
baseball,[整理] 轉播時間 + 季前熱身賽
baseball,[分享] 2025 cpbl熱身賽　 轉播平台／賽程表
baseball,[公告] baseball 板 開始舉辦樂透!
baseball,[新聞] 餅總作勢要「捶」他 勝騎士笑回一句話
baseball,[live] mlb東京友誼賽  芝加哥小熊 vs 讀賣巨人
baseball,[新聞] 寄望張仁瑋打擊像「貝茲」　平野惠一點
baseball,[情報] 申皓瑋再見安打
baseball,[新聞] spc-中職(影)／打向右外野落地卻沒跑
baseball,[討論] 蒙德茲這樣要月薪5萬？
baseball,[分享] 陳偉殷 fb
baseball,[分享] 今日申皓瑋
baseball,[新聞] 中職》直呼江坤宇「很可惡」 勝騎士盛讚
baseball,[分享] 今日范國宸
baseball,[新聞] 太慘了…獅隊新洋投蒙德茲投7人次0.0局
baseball,[分享] 今日林哲瑄
baseball,[分享] 喵魯閣
baseball,[分享] 捷克隊佛洲移訓結束 vs 小聯盟 戰績1w 3l
baseball,[討論] 統一的牛棚養成到底哪裡出了問題
baseball,[新聞] 《mlb the show 2025》評分惹議　大谷1
baseball,[新聞] mlb》美聯三冠王春訓飆161公里火球 老虎主帥：腎上腺素激發
baseball,[分享] kershaw 與老友黑田博樹見面
baseball,[新聞] 經典賽／捷克找外籍軍團曝8人有興趣 包
baseball,[新聞] 東京賽》阪神王牌曾遭大谷跪地開轟！道
baseball,[新聞] 經典賽》台灣隊小心！捷克尋求大聯盟球
baseball,[新聞] 大谷翔平果然開轟！山本由伸說起床就有
baseball,[新聞] 王貞治盼邀台灣等國合作！學習mlb海外賽　將啟動「球心會」
baseball,[分享] spencer torkelson將會練習守外野
baseball,[新聞] milb》右手先發、左手中繼？水手總管曝
baseball,[新聞] mlb》去年勇奪國聯新人王 海盜火球狀元史
baseball,[新聞] spc東京賽》阪神王牌曾遭大谷跪地開轟
baseball,[分享] 未來將挑戰國際簽約金紀錄的12歲球員
baseball,[live] npb熱身賽　 火腿 v 軟銀　上沢直之先發
baseball,[分享] misamo—今日東京賽開球嘉賓
baseball,[新聞] 大谷翔平隔741天對決才木遭三振　日媒：
baseball,[分享] netflix《mlb休息室：波士頓紅襪隊的一年》
baseball,[live] kbo聯盟 熱身賽(3/16)
baseball,[live] npb熱身賽　 羅德 v 廣島
baseball,[分享] 今日藤浪晉太郎
baseball,[分享] 陳偉殷 重回中日龍隊二軍基地
baseball,[新聞] 曾對戰巔峰時的陳偉殷 平野惠一有話對他
baseball,[討論] 像旅長這個play 通常一壘手該怎麼站位?
baseball,[新聞] 沈家羲美職春訓初體驗 遇見鈴木一朗強大
baseball,[分享] 才木浩人：確實很想三振大谷
baseball,[分享] 愛爾達fb：林哲瑄遭9傳3出局影片
baseball,[新聞] mlb／阪神擒殺小熊再獵「世界一」道奇 日
baseball,[分享] 林哲瑄不跑壘並非第一次！！！
baseball,[新聞] 棒球(影)／陳偉殷名古屋引退！中日龍球
baseball,[情報] 新庄給了「沒什麼事要說」的紙條給記者
baseball,[問題] 林哲瑄安打球沒跑是視線有受干擾嗎
baseball,[新聞] 中職》張仁瑋打擊像重砲 平野惠一：希望
baseball,[新聞] 東京賽》從塞揚強投手中敲出3分砲 佐藤
baseball,[新聞] 東京賽》阪神世界第一登熱搜 才木浩人神
baseball,[新聞] xbx-擊球在場內但沒跑　資深選手林哲瑄
baseball,[情報] 中信兄弟雙冠榮耀特展 3/22～3/30大巨蛋
baseball,[新聞] 中職》陳傑憲見「白色怪物」傻眼了 「打
baseball,[炸裂] 申皓瑋  追平炮
baseball,[live] cpbl熱身賽#10 台鋼 vs 味全 @斗六
baseball,[live] cpbl熱身賽#11 統一 vs 中信兄弟 @洲際
baseball,[分享] 柯敬賢：被通緝了嗎！
baseball,[情報] manfred: 不排除mlb球員參加2028奧運的可能性
baseball,[分享] 今日王柏傑
baseball,[新聞] spc-mlb》37歲前道奇「挨轟王」情歸何處？美媒曝有望獲1年大
baseball,[新聞] mlb》好險洋基沒把人送走　史卓曼自認能帶給球隊很大的價值
baseball,[新聞] mlb》即將站上偶像祖國的投手丘　小熊左投內心澎湃
baseball,[分享] 台鋼雄鷹：城市主題曲〈高雄之歌〉
baseball,[分享] 跟孩子猜拳帽子歸屬 丸佳浩:沒那麼簡單
baseball,[情報] 王博玄
baseball,[分享] 青柳晃洋 下放至小聯盟訓練營
baseball,[分享] 和田毅 引退儀式 官方完整影片
baseball,[新聞] mlb東京賽／戶鄉翔征為何被打爆？岡島秀
baseball,[情報] fox有興趣和mlb擴大轉播約規模
baseball,[新聞] 經歷沒受過的傷 郭俊麟不求突飛猛進：我的年紀…
baseball,[討論] 現在用球是不是還有微調的空間
baseball,[公告] 水桶公告*17
baseball,[新聞] mlb東京賽直擊／對大谷翔平開轟無感？
baseball,[討論] 中職國籍認定要遵循wbc模式嗎?
baseball,[新聞] 撿到大谷翔平返鄉全壘打 女球迷：要當傳
baseball,[分享] 長嶋茂雄去看mlb東京賽 跟大谷合照
baseball,[新聞] mlb》當家王牌遭遇震撼教育！ 巨人教練：
baseball,[新聞] 陳偉殷引退》拿2009年防禦率王手套最後
baseball,[新聞] mlb》日職用球不彈？鈴木誠也強擊球卻失
baseball,[live] npb熱身賽　 西武v中日　陳偉殷開球引退
baseball,[新聞] mlb海外賽有望來台舉辦？蔡其昌：2028年
baseball,[分享] 韓華新球場 新票價表
baseball,[炸裂] 佐藤輝明
baseball,[live] 113學年度國中棒球聯賽硬式組決賽
baseball,[問題] 才木浩人會是下個大聯盟的球星嗎？
baseball,[新聞] spc-西班牙三壘手「突po台灣國旗」　球
baseball,[新聞] 克蕭東京重逢黑田博樹表情引熱議　感性
baseball,[新聞] 葛拉斯諾抽卡抽到大谷翔平 前一秒喊賣、
baseball,[新聞] 招募卡仔、費仔拚了! 蔡其昌考慮親自赴美
baseball,[新聞] 韓女團misamo東京巨蛋引騷動　山本由伸合
baseball,[新聞] 當今最佳球員另有其人？資深球探不選大
baseball,[新聞] 日職》跟妻子說好不哭的 陳偉殷感性致詞
baseball,[新聞] 曾封鎖台灣！才木浩人三振大谷翔平完美
baseball,[分享] 樂天逃猿
baseball,[新聞] mlb》奪新人王後首扛開幕戰先發 史基斯：贏球才有意義
baseball,[新聞] mlb(影)／大聯盟球員票選本季前五強投　上屆兩位賽揚都在其
baseball,[新聞] spc-龍捲風投法向tiant致意　sale：投進好球帶真的很厲害
baseball,[公告] 水桶公告*2
baseball,[分享] 113學年度高中木棒聯賽 投手球速統計
baseball,[情報] 今日上澤直之
baseball,[新聞] 蒙德茲控球走鐘「不能參考」 平野惠一要
baseball,[新聞] 張士綸生日開轟沒想到　展現「競爭力」
baseball,[新聞] 中職》蒙德茲寫最慘控球紀錄 兄弟教頭仍
baseball,[分享] 今日嘉義市球場隨拍
baseball,[新聞] mlb／大谷請客！177公斤鮪魚上桌 弗里曼
baseball,[新聞] xbx-台鋼雄鷹》再簽約1名日本投手 雄鷹開
baseball,[新聞] mlb》「令和怪物」準備就緒！佐佐木朗希
baseball,[分享] 林哲瑄 threads
baseball,[分享] 今日石川達也
baseball,[新聞] 東京賽》最美風景！不藏私指導阪神王牌
baseball,[情報] 阪神虎連續兩天完封大聯盟球隊
baseball,[live] cpbl熱身賽#09 樂天 vs 富邦 @嘉義市
baseball,[分享] 軟銀滿壘大中計
baseball,[分享] 今日 才木浩人
baseball,[分享] 才木浩人與戶鄉翔征 對戰台灣/道奇比較
baseball,[分享] 今日nfl場地滿場觀眾前打球的美國香蕉隊
pc_shopping,[菜單] 80k 白色全景背插遊戲主機（修改）
pc_shopping,[菜單] 35k 遊戲機
pc_shopping,[菜單] 25k以下文書/輕遊戲機
pc_shopping,[公告] 電蝦板板規 v4.0
pc_shopping,[心得] 白色主機選購指南 3/6更新
pc_shopping,[心得] 《ssd選購指南》碎念之邁向八週年
pc_shopping,[公告] 禁推“羅技”全系列產品
pc_shopping,[開箱] m.2 sata救星-創見mts830s簡單開箱
pc_shopping,[菜單] 40k 5070機
pc_shopping,[閒聊] 5070每週到貨結果還缺貨？是每週只進10張
pc_shopping,[情報] 欣亞9950x3d加班活動
pc_shopping,[菜單] 30~35k純白機
pc_shopping,[情報] 原價屋 9950x3d 9900x3d 首賣延長賽
pc_shopping,[開箱] amd ryzen 9 9950x3d 9900x3d 處理器開箱
pc_shopping,[情報] gamers nexus 9950x3d評測
pc_shopping,[情報] 5090奇遇記
pc_shopping,[情報] 3dmark steel nomad開始支援8k解析度測試
pc_shopping,[菜單] 25k遊戲程式機 不含顯卡
pc_shopping,[心得] 抱著可能會被噓爆的狀態發這篇
pc_shopping,[請益] 半月內5090沒有燒毀案例了？
pc_shopping,[菜單] 70k 3a遊戲機
pc_shopping,[閒聊] amd下代核心數量也加倍32核zen6c
pc_shopping,[請益] 電供給16pin要怎麼裝在9070xt上的3x8pin
pc_shopping,[閒聊] am4 cpu 5600x和5700x 原價屋又上架了
pc_shopping,[菜單] 28k升級 綜合遊戲機
pc_shopping,[閒聊] 3/12台北原價屋排隊回報
pc_shopping,[菜單] 40k上下 matx主機
pc_shopping,[開箱] 藍寶 pulse radeon rx9070 雙風扇+雙hdmi
hatepolitics,[討論] 民眾黨新任臺中主委：2年條款一定落實
hatepolitics,[討論] 問倒閣的是國民黨，國蔥提賴幹嘛
hatepolitics,[舊聞] 微甜馬鈴薯 fb 總預算說明圖解
hatepolitics,[討論] 我是台灣人，我反綠
hatepolitics,[黑特] 小草到底在氣什麼？？
hatepolitics,[新聞] 小四女童逛百貨當眾押回派出所「嚇到崩
hatepolitics,[討論] 不必氣，努力大罷免就對了
hatepolitics,"[討論] 現況來說,純中間選民反而是稀有族群惹吧?"
hatepolitics,[新聞] 高雄宣講！邱議瑩、許智傑、李柏毅、李꤯
hatepolitics,[討論] 我沒興趣跟民進黨一起死！
hatepolitics,[新聞] 獨／被酸「不肖子孫」！胡璉孫女：誰都
hatepolitics,[討論] 小草台灣人
hatepolitics,[討論] 誠品可以關一關了吧
hatepolitics,[討論] 你願意為台灣而死嗎？
hatepolitics,[黑特] 大罷免與文化大革命的差異？
hatepolitics,[討論] 美國如何讓台灣高科技赴美
hatepolitics,[討論] 現在還是很難相信藍白刪預算刪到負
hatepolitics,[黑特] 核電擋人財路
hatepolitics,[黑特] 吃血饅頭最厲害的還是民進黨
hatepolitics,[討論] 小草是不是都覺得自己最大
hatepolitics,[新聞] 高雄箱型車突衝上人行道 來台觀光日籍婦
hatepolitics,[討論] 川普砍美國之音；賴清德不敢
hatepolitics,[新聞] 吳子嘉酸魏哲家醜胖子！徐巧芯台下大笑挨
hatepolitics,[黑特] 主計長都公開承認比去年預算多1368億
hatepolitics,[黑特] 國民黨在氣傅崑其？國民黨手榴彈連環爆，
hatepolitics,"[討論] 民進黨慘了,藍營新聞粉專對陸配現實風向"
hatepolitics,[討論] 許智傑送共軍武器造型獎勵，不罵爆？
hatepolitics,[討論] 賴皮自己請辭 給蕭當總統比較實在吧
hatepolitics,[討論] 反共是在野黨最好的主張!?